Site,Zone,Replicate,Sample_ID,DNF_Rate_g_hr,DNRA_Rate_g_hr,pH,Percent_Water_WetSoil,Percent_OM_WetSoil,Percent_Water_drySoil,Percent_OM_drySoil,HG_Soil_Moisture_wfv,HG_Soil_Moisture_percent,HG_Soil_Temperature_C,HG_Soil_Temperature_F ,HG_Bulk_EC(Raw)_dS/m,HG_Bulk_EC(TC)_dS/m,HG_PoreWater EC_dS/m,HG_PoreWater_EC_Offset,HG_Raw_Real_Dielectric,HG_Raw_Imaginary_Dielectric,HG_Loss_Tangent,HG_Memo,Soil_EC,Soil_Sal,Soil KCl NH4 (uM),Soil KCl Nox (uM),Soil KCl DIN (uM)
MSM,TR,C,MSM_TR_C,22.09477501,2.046155309,5.94,86.4,97.1,736,21.5,0.923,92.3,25.9,78.6,3.67,3.6,2.86,3.4,102.254,131.91,1.29,msm-transition-coreC,2740,1.3,40.21475437,0.011268,40.22602237
MSM,WC,A,MSM_WC_A,0.045169773,1.097655781,6.05,91.4,97.7,1157,26.2,0.95,95,25.4,77.7,3.54,3.48,1.66,3.4,167.752,127.172,0.76,msm-wetland-coreA,5310,2.8,99.58005812,0.01826,99.59831812
MSM,WC,B,MSM_WC_B,4.040315927,1.581549667,5.54,89.7,97.1,967,27.8,0.95,95,25.4,77.7,3.22,3.18,1.49,3.4,171.271,115.702,0.68,msm-wetland-coreB,5000,2.6,60.62284478,0.017038,60.63988278
MSM,WC,C,MSM_WC_C,1.374831847,4.10518814,6.05,89.6,90.9,958,87,0.95,95,26.4,79.5,3.59,3.49,1.64,3.4,170.633,129.186,0.76,msm-wetland-coreC,5230,2.8,72.48102694,0.018384,72.49941094
GWI,UP,A,GWI_UP_A,0.330536814,4.364587392,4.69,24.3,30.6,132,91.7,0.212,21.2,24.9,76.8,1.52,1.52,12.6,3.4,12.87,54.79,4.26,gwi-up-coreA,1252,0.4,15.04965481,0.013837,15.06349181
GWI,UP,B,GWI_UP_B,0.463518583,4.384432159,4.81,25.7,32.8,135,90.4,0.194,19.4,25.1,77.3,2.65,2.65,25.1,3.4,11.689,95.32,8.15,gwi-up-coreB,2210,1,15.27447579,0.013724,15.28819979
GWI,UP,C,GWI_UP_C,0.164266515,5.505872175,4.74,29.5,37.3,142,88.9,0.416,41.6,25.1,77.3,3.6,3.59,10.67,3.4,29.816,129.437,4.34,gwi-up-coreC,3170,1.5,32.78738033,0.013971,32.80135133
GWI,TR,A,GWI_TR_A,15.40230192,0.725924159,6.33,73,89.9,371,37.3,0.153,15.3,25.6,78.2,1.6,1.59,21.25,3.4,9.275,57.644,6.21,gwi-tr-coreB,4640,2.4,143.6551793,0.080496,143.7356753
GWI,TR,B,GWI_TR_B,13.7630688,1.002996251,5.99,72.5,86.5,363,48.9,0.435,43.5,25.4,77.7,3.34,3.33,9.22,3.4,31.757,120.273,3.79,gwi-tr-actualb,4920,2.6,193.1483504,0.049279,193.1976294
GWI,TR,C,GWI_TR_C,7.945684032,1.057079834,6.08,60.5,73,253,68.3,0.95,95,25.9,78.6,3.66,3.61,2.14,3.4,135.684,131.54,0.97,GWi-tr-coreC,4540,2.4,81.96627328,0.019037,81.98531028
GWI,WC,A,GWI_WC_A,14.43864308,2.028551624,5.98,76.4,87.7,423,52.1,0.95,95,25.6,78.2,3.75,3.73,1.59,3.4,187.515,135.036,0.72,gwi-wc-coreA,7130,3.9,178.5625451,0.072748,178.6352931
GWI,WC,B,GWI_WC_B,21.25416962,1.761141735,6.58,42.7,48.7,175,89.6,0.95,95,25.6,78.2,3.67,3.65,1.79,3.4,163.541,132.011,0.81,gwi-wc-coreB,3930,2,98.09691076,0.053935,98.15084576
GWI,WC,C,GWI_WC_C,14.35531919,2.9203577,6.29,61.8,71.4,262,74.8,0.95,95,25.6,78.2,4.18,4.15,1.82,3.4,181.912,150.418,0.83,gwi-wc-coreC,5420,2.9,123.9094148,0.050502,123.9599168
SWH,UP,A,SWH_UP_A,9.166301163,5.572747961,4.89,62.2,73,264,71.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,376,0,52.21336932,1.365489373,53.57885869
SWH,UP,B,SWH_UP_B,8.971936517,5.121690443,4.98,68.4,78.9,316,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,0,39.38258119,5.510362898,44.89294409
SWH,UP,C,SWH_UP_C,8.915829198,3.980114769,4.75,51,62.4,204,76.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92,0,58.89795598,1.119392862,60.01734884
SWH,TR,A,SHW_TR_A,13.93224876,0.369836789,6.09,89.4,97,940,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1618,0.6,46.69108355,0.803044257,47.49412781
SWH,TR,B,SWH_TR_B,11.18882836,0.205389456,6.27,86.6,96.2,748,28.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2220,1,40.19704856,0.888146387,41.08519494
SWH,TR,C,SWH_TR_C,10.7107485,0.520172741,6.17,88.5,96.6,873,29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1716,0.7,38.0773487,0.927627493,39.00497619
SWH,WC,A,SWH_WC_A,8.350894039,2.946787904,5.89,77.8,84.1,451,71.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2710,1.3,16.95145894,0.80697095,17.75842989
SWH,WC,B,SWH_WC_B,7.133907278,2.036950376,6.1,77,82.9,435,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2400,1.1,15.71804922,0.770845381,16.4888946
SWH,WC,C,SWH_WC_C,3.982395496,3.928062954,5.82,76.5,82.5,425,74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2080,0.9,30.35811433,0.762349447,31.12046378
