Sample ID,Type,Conc_CO2,Conc_CH4,Conc_N2O,CO2_Area,CH4_Area,N2O_Area,Notes,Run_Date
MSM_TR_B_T2,Sample,unknown,unknown,unknown,20318925,3802,8875,,5/11/2026
ChkStd_12mLLowTri2,ChkStd,unknown,unknown,unknown,848977,6171,29533,used high syringe for check stds on accident,5/11/2026
Blank6,Blank,unknown,unknown,unknown,32753,171,589,,5/11/2026
MSM_TR_B_T3,Sample,unknown,unknown,unknown,19965281,1173,12875,,5/11/2026
MSM_TR_B_T4,Sample,unknown,unknown,unknown,23510866,1263,5886,,5/11/2026
MSM_TR_B_T5,Sample,unknown,unknown,unknown,25058323,3222,10142,,5/11/2026
MSM_TR_B_T6,Sample,unknown,unknown,unknown,30009471,3794,5328,,5/11/2026
MSM_TR_C_T0,Sample,unknown,unknown,unknown,22269748,6118,16601,,5/11/2026
MSM_TR_C_T1,Sample,unknown,unknown,unknown,17045521,862,18986,,5/11/2026
MSM_TR_C_T2,Sample,unknown,unknown,unknown,19091613,957,11322,,5/11/2026
MSM_TR_C_T3,Sample,unknown,unknown,unknown,22390139,1542,5857,,5/11/2026
MSM_TR_C_T4,Sample,unknown,unknown,unknown,17902932,1057,16306,,5/11/2026
MSM_TR_C_T5,Sample,unknown,unknown,unknown,19205134,1195,19873,,5/11/2026
ChkStd_12mLLowTri3,ChkStd,unknown,unknown,unknown,774566,6163,39926,,5/11/2026
Blank7,Blank,unknown,unknown,unknown,52659,145,523,,5/11/2026
MSM_TR_C_T6,Sample,unknown,unknown,unknown,17594969,1544,7801,,5/11/2026
MSM_WC_A_T0,Sample,unknown,unknown,unknown,13812184,896016,3298,,5/11/2026
MSM_WC_A_T1,Sample,unknown,unknown,unknown,18062700,842956,9211,,5/11/2026
MSM_WC_A_T2,Sample,unknown,unknown,unknown,14772888,762492,14941,,5/11/2026
MSM_WC_A_T3,Sample,unknown,unknown,unknown,13046952,94321,42937,,5/11/2026
MSM_WC_A_T4,Sample,unknown,unknown,unknown,11481741,18257,15505,,5/11/2026
MSM_WC_A_T5,Sample,unknown,unknown,unknown,11992728,19926,27864,,5/11/2026
MSM_WC_A_T6,Sample,unknown,unknown,unknown,13805056,33252,24340,,5/11/2026
MSM_WC_B_T0,Sample,unknown,unknown,unknown,9037933,21844,12379,,5/11/2026
MSM_WC_B_T1,Sample,unknown,unknown,unknown,11078859,36774,25988,,5/11/2026
ChkStd_12mLLowTri4,ChkStd,unknown,unknown,unknown,730744,6278,39225,sample name 20260511_MSM_WC_B_T2,5/11/2026
Blank8,Blank,unknown,unknown,unknown,28211,160,281,,5/11/2026
MSM_WC_B_T2,Sample,unknown,unknown,unknown,9788245,45853,25767,,5/11/2026
MSM_WC_B_T3,Sample,unknown,unknown,unknown,10878487,55106,17647,,5/11/2026
MSM_WC_B_T4,Sample,unknown,unknown,unknown,13700206,42534,11738,,5/11/2026
MSM_WC_B_T5,Sample,unknown,unknown,unknown,16993933,987524,6110,,5/11/2026
MSM_WC_B_T6,Sample,unknown,unknown,unknown,17717619,120414,8411,,5/11/2026
MSM_WC_C_T0,Sample,unknown,unknown,unknown,12510502,18931,13016,,5/11/2026
MSM_WC_C_T1,Sample,unknown,unknown,unknown,10954666,2663,7744,,5/11/2026
MSM_WC_C_T2,Sample,unknown,unknown,unknown,8953612,24757,13845,,5/11/2026
MSM_WC_C_T3,Sample,unknown,unknown,unknown,10264687,2865,31281,,5/11/2026
MSM_WC_C_T4,Sample,unknown,unknown,unknown,10776582,15461,19257,,5/11/2026
ChkStd_12mLLowTri5,ChkStd,unknown,unknown,unknown,711638,6326,42838,,5/11/2026
Blank9,Blank,unknown,unknown,unknown,32348,191,494,,5/11/2026
MSM_WC_C_T5,Sample,unknown,unknown,unknown,11656500,3475,16581,,5/11/2026
MSM_WC_C_T6,Sample,unknown,unknown,unknown,18575992,1681074,9042,,5/11/2026
ChkStd_12mLLowTri6,ChkStd,unknown,unknown,unknown,779484,10914,14718,,5/11/2026
Blank10,Blank,unknown,unknown,unknown,28450,238,0,,5/11/2026
Blank11,Blank,unknown,unknown,unknown,19110,155,0,,5/11/2026
