Sample ID,Type,Conc_CO2,Conc_CH4,Conc_N2O,CO2_Area,CH4_Area,N2O_Area,Notes,Run_Date
ChkStd_12mLLowTri2,ChkStd,unknown,unknown,unknown,734160,6170,11366,,5/5/2026
Blank6,Blank,unknown,unknown,unknown,25235,112,670,,5/5/2026
SWH_WC_A_T3,Sample,unknown,unknown,unknown,10459577,15311,7734,,5/5/2026
SWH_WC_A_T4,Sample,unknown,unknown,unknown,13627307,14381,3355,,5/5/2026
SWH_WC_A_T5,Sample,unknown,unknown,unknown,14885685,28979,4314,,5/5/2026
SWH_WC_A_T6,Sample,unknown,unknown,unknown,8165875,32679,3200,,5/5/2026
SWH_WC_B_T0,Sample,unknown,unknown,unknown,5371244,53707,2509,,5/5/2026
SWH_WC_B_T1,Sample,unknown,unknown,unknown,5126519,53962,3772,,5/5/2026
SWH_WC_B_T2,Sample,unknown,unknown,unknown,9416975,18608,1547,,5/5/2026
SWH_WC_B_T3,Sample,unknown,unknown,unknown,6236224,13669,3779,,5/5/2026
SWH_WC_B_T4,Sample,unknown,unknown,unknown,9036007,53026,4236,,5/5/2026
SWH_WC_B_T5,Sample,unknown,unknown,unknown,11442437,81145,9279,,5/5/2026
ChkStd_12mLLowTri3,ChkStd,unknown,unknown,unknown,720851,6375,9312,,5/5/2026
Blank7,Blank,unknown,unknown,unknown,24246,146,109,,5/5/2026
SWH_WC_B_T6,Sample,unknown,unknown,unknown,9969712,12162,7319,,5/5/2026
SWH_WC_C_T0,Sample,unknown,unknown,unknown,6518284,60281,2854,,5/5/2026
SWH_WC_C_T1,Sample,unknown,unknown,unknown,6413839,23715,2920,,5/5/2026
SWH_WC_C_T2,Sample,unknown,unknown,unknown,6051013,105391,3410,,5/5/2026
SWH_WC_C_T3,Sample,unknown,unknown,unknown,11061221,69014,11385,,5/5/2026
SWH_WC_C_T4,Sample,unknown,unknown,unknown,10900040,118947,9779,,5/5/2026
SWH_WC_C_T5,Sample,unknown,unknown,unknown,9105532,104239,10817,,5/5/2026
SWH_WC_C_T6,Sample,unknown,unknown,unknown,16592482,20427,9991,,5/5/2026
MSM_UP_A_T0,Sample,unknown,unknown,unknown,24237268,25494,11771,,5/5/2026
MSM_UP_A_T1,Sample,unknown,unknown,unknown,17676214,1598,43017,,5/5/2026
ChkStd_12mLLowTri4,ChkStd,unknown,unknown,unknown,733575,6186,26026,,5/5/2026
Blank8,Blank,unknown,unknown,unknown,47337,159,513,,5/5/2026
MSM_UP_A_T2,Sample,unknown,unknown,unknown,16683881,10425,40135,,5/5/2026
MSM_UP_A_T3,Sample,unknown,unknown,unknown,22815140,2653,9020,,5/5/2026
MSM_UP_A_T4,Sample,unknown,unknown,unknown,20548752,2532,123614,,5/5/2026
MSM_UP_A_T5,Sample,unknown,unknown,unknown,19396873,5737,125125,,5/5/2026
MSM_UP_A_T6,Sample,unknown,unknown,unknown,20891785,5514,166733,,5/5/2026
MSM_UP_B_T0,Sample,unknown,unknown,unknown,15001928,2405,30326,,5/5/2026
MSM_UP_B_T1,Sample,unknown,unknown,unknown,13900178,3445,30847,,5/5/2026
MSM_UP_B_T2,Sample,unknown,unknown,unknown,13900178,3445,30585,,5/5/2026
MSM_UP_B_T3,Sample,unknown,unknown,unknown,12992109,22758,22469,,5/5/2026
MSM_UP_B_T4,Sample,unknown,unknown,unknown,11026746,2759,32088,,5/5/2026
ChkStd_12mLLowTri5,ChkStd,unknown,unknown,unknown,675836,6013,40100,,5/5/2026
Blank9,Blank,unknown,unknown,unknown,41277,162,637,,5/5/2026
MSM_UP_B_T5,Sample,unknown,unknown,unknown,10613616,8913,31663,,5/5/2026
MSM_UP_B_T6,Sample,unknown,unknown,unknown,12288743,42014,53288,,5/5/2026
MSM_UP_C_T0,Sample,unknown,unknown,unknown,13635571,14240,9798,,5/5/2026
MSM_UP_C_T1,Sample,unknown,unknown,unknown,11934237,1581,40374,,5/5/2026
MSM_UP_C_T2,Sample,unknown,unknown,unknown,14554337,2037,76865,,5/5/2026
MSM_UP_C_T3,Sample,unknown,unknown,unknown,13687635,52654,69508,,5/5/2026
MSM_UP_C_T4,Sample,unknown,unknown,unknown,15712495,33381,35815,,5/5/2026
MSM_UP_C_T5,Sample,unknown,unknown,unknown,17371770,16636,78707,,5/5/2026
MSM_UP_C_T6,Sample,unknown,unknown,unknown,11384420,2515,3328,more pressurized than the others,5/5/2026
ChkStd_12mLLowTri6,ChkStd,unknown,unknown,unknown,652721,6184,11364,,5/5/2026
Blank10,Blank,unknown,unknown,unknown,27594,142,491,,5/5/2026
Blank11,Blank,unknown,unknown,unknown,22712,129,34,,5/5/2026
