Sample ID,Type,Conc_CO2,Conc_CH4,Conc_N2O,CO2_Area,CH4_Area,N2O_Area,Notes
Gcrew_UP_C_T6,Sample,unknown,unknown,unknown,8700231,2325,105839,
Gcrew_TR_A_T0,Sample,unknown,unknown,unknown,5721090,1231,20550,
Gcrew_TR_A_T1,Sample,unknown,unknown,unknown,9153439,1582,26098,
Gcrew_TR_A_T2,Sample,unknown,unknown,unknown,8380413,1432,35621,
Gcrew_TR_A_T3,Sample,unknown,unknown,unknown,9129220,1227,17061,
Gcrew_TR_A_T4,Sample,unknown,unknown,unknown,9134252,1342,24814,
Gcrew_TR_A_T5,Sample,unknown,unknown,unknown,9449684,2868,9440,
Gcrew_TR_A_T6,Sample,unknown,unknown,unknown,6854033,1709,9668,
Gcrew_TR_B_T0,Sample,unknown,unknown,unknown,5439415,1213,17590,
Gcrew_TR_B_T1,Sample,unknown,unknown,unknown,5791235,1627,58945,
ChkStd_12mLLowTri4,ChkStd,unknown,unknown,unknown,324669,6723,11412,
Blank10,Blank,unknown,unknown,unknown,13440,156,0,
Gcrew_TR_B_T2,Sample,unknown,unknown,unknown,6016080,2261,32377,
Gcrew_TR_B_T3,Sample,unknown,unknown,unknown,7201162,1217,29843,
Gcrew_TR_B_T4,Sample,unknown,unknown,unknown,5837440,1167,29769,
Gcrew_TR_B_T5,Sample,unknown,unknown,unknown,6355354,1301,13040,
Gcrew_TR_B_T6,Sample,unknown,unknown,unknown,6448865,1350,6522,
Gcrew_TR_C_T0,Sample,unknown,unknown,unknown,7825898,1073,7585,
Gcrew_TR_C_T1,Sample,unknown,unknown,unknown,7727799,1058,43486,
Gcrew_TR_C_T2,Sample,unknown,unknown,unknown,6879248,1144,41448,
Gcrew_TR_C_T3,Sample,unknown,unknown,unknown,6833797,1206,50486,
Gcrew_TR_C_T4,Sample,unknown,unknown,unknown,8594952,1379,44198,
ChkStd_12mLLowTri5,ChkStd,unknown,unknown,unknown,318035,6540,36825,
Blank11,Blank,unknown,unknown,unknown,14562,144,0,
Gcrew_TR_C_T5,Sample,unknown,unknown,unknown,6581791,1536,14349,
Gcrew_TR_C_T6,Sample,unknown,unknown,unknown,8682830,1258,4901,
Gcrew_WC_A_T0,Sample,unknown,unknown,unknown,5912900,28112,4476,
Gcrew_WC_A_T1,Sample,unknown,unknown,unknown,5925008,444450,4957,
Gcrew_WC_A_T2,Sample,unknown,unknown,unknown,3948567,154421,9347,
Gcrew_WC_A_T3,Sample,unknown,unknown,unknown,7097916,935032,17744,
Gcrew_WC_A_T4,Sample,unknown,unknown,unknown,5336225,208259,15317,
Gcrew_WC_A_T5,Sample,unknown,unknown,unknown,5952315,92543,9874,
Gcrew_WC_A_T6,Sample,unknown,unknown,unknown,7857934,3030064,6119,
ChkStd_12mLLowTri6,ChkStd,unknown,unknown,unknown,346598,12096,10943,
Blank12,Blank,unknown,unknown,unknown,17282,362,165,
Blank13,Blank,unknown,unknown,unknown,20766,249,126,
