Sample ID,Type,Conc_CO2,Conc_CH4,Conc_N2O,CO2_Area,CH4_Area,N2O_Area,Notes,Run_Date
GWI_UP_B_T1,Sample,unknown,unknown,unknown,10345947,1797,3986,,5/12/2026
GWI_UP_B_T2,Sample,unknown,unknown,unknown,15006580,1007,10537,,5/12/2026
ChkStd_12mLLowTri2,ChkStd,unknown,unknown,unknown,705923,6086,26802,,5/12/2026
Blank6,Blank,unknown,unknown,unknown,37977,141,0,,5/12/2026
GWI_UP_B_T3,Sample,unknown,unknown,unknown,10138098,657,12255,,5/12/2026
GWI_UP_B_T4,Sample,unknown,unknown,unknown,12519566,797,7810,,5/12/2026
GWI_UP_B_T5,Sample,unknown,unknown,unknown,10463700,988,14460,,5/12/2026
GWI_UP_B_T6,Sample,unknown,unknown,unknown,10962190,406,18472,,5/12/2026
GWI_UP_C_T0,Sample,unknown,unknown,unknown,11336125,1459,3003,,5/12/2026
GWI_UP_C_T1,Sample,unknown,unknown,unknown,10841785,1226,4136,,5/12/2026
GWI_UP_C_T2,Sample,unknown,unknown,unknown,9761048,1333,13707,,5/12/2026
GWI_UP_C_T3,Sample,unknown,unknown,unknown,13060210,1206,11807,,5/12/2026
GWI_UP_C_T4,Sample,unknown,unknown,unknown,16729051,1906,28971,,5/12/2026
GWI_UP_C_T5,Sample,unknown,unknown,unknown,11452014,1316,64209,,5/12/2026
ChkStd_12mLLowTri3,ChkStd,unknown,unknown,unknown,652183,5986,33742,,5/12/2026
Blank7,Blank,unknown,unknown,unknown,20879,133,0,,5/12/2026
GWI_UP_C_T6,Sample,unknown,unknown,unknown,17657091,1326,15550,,5/12/2026
GWI_TR_A_T0,Sample,unknown,unknown,unknown,30718664,2625,5939,,5/12/2026
GWI_TR_A_T1,Sample,unknown,unknown,unknown,13609020,1398,22999,,5/12/2026
GWI_TR_A_T2,Sample,unknown,unknown,unknown,27605286,3199,11526,,5/12/2026
GWI_TR_A_T3,Sample,unknown,unknown,unknown,21437754,2081,6322,,5/12/2026
GWI_TR_A_T4,Sample,unknown,unknown,unknown,20818325,1505,8737,,5/12/2026
GWI_TR_A_T5,Sample,unknown,unknown,unknown,33391304,3326,10311,,5/12/2026
GWI_TR_A_T6,Sample,unknown,unknown,unknown,11555986,1043,6203,,5/12/2026
GWI_TR_B_T0,Sample,unknown,unknown,unknown,17328105,1554,4667,,5/12/2026
GWI_TR_B_T1,Sample,unknown,unknown,unknown,19343555,1731,16956,,5/12/2026
ChkStd_12mLLowTri4,ChkStd,unknown,unknown,unknown,689259,6036,11563,,5/12/2026
Blank8,Blank,unknown,unknown,unknown,40868,162,0,,5/12/2026
GWI_TR_B_T2,Sample,unknown,unknown,unknown,16553649,1350,8150,,5/12/2026
GWI_TR_B_T3,Sample,unknown,unknown,unknown,12838645,1087,13618,,5/12/2026
GWI_TR_B_T4,Sample,unknown,unknown,unknown,20108736,1245,4185,,5/12/2026
GWI_TR_B_T5,Sample,unknown,unknown,unknown,23001589,2102,5153,,5/12/2026
GWI_TR_B_T6,Sample,unknown,unknown,unknown,24628872,3218,5280,,5/12/2026
GWI_TR_C_T0,Sample,unknown,unknown,unknown,18398726,2702,13483,,5/12/2026
GWI_TR_C_T1,Sample,unknown,unknown,unknown,18503456,2425,3381,,5/12/2026
GWI_TR_C_T2,Sample,unknown,unknown,unknown,15748848,2632,31455,,5/12/2026
GWI_TR_C_T3,Sample,unknown,unknown,unknown,13507812,1038,27450,,5/12/2026
GWI_TR_C_T4,Sample,unknown,unknown,unknown,13804671,903,67717,,5/12/2026
ChkStd_12mLLowTri5,ChkStd,unknown,unknown,unknown,653341,6005,11152,,5/12/2026
Blank9,Blank,unknown,unknown,unknown,21669,111,299,,5/12/2026
GWI_TR_C_T5,Sample,unknown,unknown,unknown,13739280,1038,52652,,5/12/2026
GWI_TR_C_T6,Sample,unknown,unknown,unknown,9617032,818,28760,,5/12/2026
GWI_WC_A_T0,Sample,unknown,unknown,unknown,5844343,1486,19327,,5/12/2026
GWI_WC_A_T1,Sample,unknown,unknown,unknown,10408861,707,22993,,5/12/2026
GWI_WC_A_T2,Sample,unknown,unknown,unknown,9180723,642,17883,,5/12/2026
GWI_WC_A_T3,Sample,unknown,unknown,unknown,10954853,757,14811,,5/12/2026
GWI_WC_A_T4,Sample,unknown,unknown,unknown,10658440,653,8847,,5/12/2026
GWI_WC_A_T5,Sample,unknown,unknown,unknown,9984416,665,11679,,5/12/2026
GWI_WC_A_T6,Sample,unknown,unknown,unknown,11870451,1089,18903,,5/12/2026
ChkStd_12mLLowTri6,ChkStd,unknown,unknown,unknown,618074,6042,27384,,5/12/2026
Blank10,Blank,unknown,unknown,unknown,29890,107,267,,5/12/2026
Blank11,Blank,unknown,unknown,unknown,25053,191,179,,5/12/2026
