"","Analysis","Run_Date","Run_by","Curve_top","curve","slope","intercept","R2"
"30","CO2",2025-09-24,"Alia Al-Haj","2000 ppm","Slope_CO2_low",0.030108212,-111.5177493,0.997665945
"31","CO2",2025-09-24,"Alia Al-Haj","20000 ppm","Slope_CO2_high",0.03615844,-461.2407842,0.997105868
"32","CH4",2025-09-30,"Alia Al-Haj","10 ppm","Slope_Ch4_low",0.001651161,-0.418451745,0.999069805
"33","CH4",2025-09-30,"Alia Al-Haj","100 ppm","Slope_Ch4_high",0.001653724,-0.733668141,0.99965238
"34","N2O",2025-09-30,"Alia Al-Haj","5 ppm","Slope_N2O_low",0.000338477,-0.110108749,0.997794532
"35","N2O",2025-09-30,"Alia Al-Haj","50.2 ppm","Slope_N2O_high",0.000432669,-1.385832789,0.995237819
"36","CO2",2025-09-30,"Alia Al-Haj","2000 ppm","Slope_CO2_low",0.112693619,-328.4347803,0.924017275
"37","CO2",2025-09-30,"Alia Al-Haj","20000 ppm","Slope_CO2_high",0.164084335,-1184.21134,0.992753219
"38","CH4",2025-10-02,"Alia Al-Haj","10 ppm","Slope_Ch4_low",0.001579414,-0.579743712,0.99556935
"39","CH4",2025-10-02,"Alia Al-Haj","100 ppm","Slope_Ch4_high",0.001609223,-0.93744807,0.999588886
"40","N2O",2025-10-02,"Alia Al-Haj","5 ppm","Slope_N2O_low",0.000342319,-0.113011403,0.996718446
"41","N2O",2025-10-02,"Alia Al-Haj","50.2 ppm","Slope_N2O_high",0.000430913,-1.093446824,0.998159291
"42","CO2",2025-10-02,"Alia Al-Haj","2000 ppm","Slope_CO2_low",0.007639638,-84.45916741,0.990777611
"43","CO2",2025-10-02,"Alia Al-Haj","20000 ppm","Slope_CO2_high",0.009554308,-523.2397059,0.99603398
"44","CH4",2025-10-07,"Alia Al-Haj","10 ppm","Slope_Ch4_low",0.00165936,-0.312663578,0.999071246
"45","CH4",2025-10-07,"Alia Al-Haj","100 ppm","Slope_Ch4_high",0.001646187,-0.137654017,0.999539695
"46","N2O",2025-10-07,"Alia Al-Haj","5 ppm","Slope_N2O_low",0.000336766,-0.06088351,0.998663728
"47","N2O",2025-10-07,"Alia Al-Haj","50.2 ppm","Slope_N2O_high",0.000430927,-1.058115228,0.997680069
"48","CO2",2025-10-07,"Alia Al-Haj","2000 ppm","Slope_CO2_low",0.015447726,-97.53592352,0.99373914
"49","CO2",2025-10-07,"Alia Al-Haj","20000 ppm","Slope_CO2_high",0.021712672,-679.3005284,0.995487146
"50","CH4",2025-10-08,"Alia Al-Haj","10 ppm","Slope_Ch4_low",0.001688226,-0.341546607,0.998896003
"51","CH4",2025-10-08,"Alia Al-Haj","100 ppm","Slope_Ch4_high",0.001673795,-5.829652752,0.999908126
"52","N2O",2025-10-08,"Alia Al-Haj","5 ppm","Slope_N2O_low",0.000376812,-0.053248093,0.994890434
"53","N2O",2025-10-08,"Alia Al-Haj","50.2 ppm","Slope_N2O_high",0.000686765,-14.1991256,0.978836198
"54","CO2",2025-10-08,"Alia Al-Haj","2000 ppm","Slope_CO2_low",0.027385279,-68.87873048,0.998032791
"55","CO2",2025-10-08,"Alia Al-Haj","20000 ppm","Slope_CO2_high",0.03698406,-969.5293802,0.991611983
"56","CH4",2026-04-17,"Melanie Giessner","1006 ppm","Slope_Ch4_high",0.001638279,-1.299113367,0.999758978
"57","CH4",2026-05-01,"Melanie Giessner","1006 ppm","Slope_Ch4_high",0.001660593,-0.887510807,0.999759399
"58","CH4",2026-04-17,"Melanie Giessner","10 ppm","Slope_Ch4_low",0.001625316,-0.404115804,0.998255093
"59","CH4",2026-05-01,"Melanie Giessner","10 ppm","Slope_Ch4_low",0.001647438,-0.249557906,0.995051473
"60","CO2",2026-04-17,"Melanie Giessner","50100 ppm","Slope_CO2_high",0.003030242,-2361.643922,0.990992597
"61","CO2",2026-05-01,"Melanie Giessner","50100 ppm","Slope_CO2_high",0.003316714,-2251.481375,0.991163753
"62","CO2",2026-04-17,"Melanie Giessner","2000 ppm","Slope_CO2_low",0.002299249,-77.47054427,0.985266372
"63","CO2",2026-05-01,"Melanie Giessner","2000 ppm","Slope_CO2_low",0.002476474,-68.93842628,0.991306453
"64","N2O",2026-04-17,"Melanie Giessner","500 ppm","Slope_N2O_high",0.000644078,-26.70949765,0.988891523
"65","N2O",2026-05-01,"Melanie Giessner","500 ppm","Slope_N2O_high",0.000828482,-14.5876556,0.99587692
"66","N2O",2026-04-17,"Melanie Giessner","5 ppm","Slope_N2O_low",0.000317344,-0.20138645,0.996257109
"67","N2O",2026-05-01,"Melanie Giessner","5 ppm","Slope_N2O_low",0.000499973,-0.01867337,0.999019434
"68","CH4",2026-04-20,"Melanie Giessner","10000 ppm","Slope_Ch4_high",0.00159803392560881,-3.87846101801172,0.999709031698582
"69","CH4",2026-05-11,"Melanie Giessner","10000 ppm","Slope_Ch4_high",0.00163154314783803,-1.87171646865259,0.999656696289628
"70","CH4",2026-05-12,"Melanie Giessner","10000 ppm","Slope_Ch4_high",0.00164206301435919,-1.1004876699875,0.99990467863866
"71","CH4",2026-05-13,"Melanie Giessner","10000 ppm","Slope_Ch4_high",0.00169159949490691,-17.0173369718209,0.999542499086675
"72","CH4",2026-05-04,"Melanie Giessner","10000 ppm","Slope_Ch4_high",0.00169808794061382,-3.14844702496305,0.999729581008107
"73","CH4",2026-05-05,"Melanie Giessner","10000 ppm","Slope_Ch4_high",0.00162979368751852,0.481784786148523,0.999909875929084
"74","CH4",2026-04-20,"Melanie Giessner","10 ppm","Slope_Ch4_low",0.00170860278517156,-0.790796559503461,0.991448922177291
"75","CH4",2026-05-11,"Melanie Giessner","10 ppm","Slope_Ch4_low",0.0016818175568828,-0.499174517839946,0.99647334287754
"76","CH4",2026-05-12,"Melanie Giessner","10 ppm","Slope_Ch4_low",0.0016779727385092,-0.327563444766702,0.999379734500213
"77","CH4",2026-05-13,"Melanie Giessner","10 ppm","Slope_Ch4_low",0.00168526490703979,-0.214546675362521,0.998610168395876
"78","CH4",2026-05-04,"Melanie Giessner","10 ppm","Slope_Ch4_low",0.00171451618553214,-0.595837926339805,0.997862753545436
"79","CH4",2026-05-05,"Melanie Giessner","10 ppm","Slope_Ch4_low",0.00161024324237335,-0.259698526888308,0.991360107392475
"80","CO2",2026-04-20,"Melanie Giessner","50100 ppm","Slope_CO2_high",0.0087209856374448,-2830.93218760589,0.991377547124054
"81","CO2",2026-05-11,"Melanie Giessner","50100 ppm","Slope_CO2_high",0.00366060780450867,-2059.87562740164,0.993103130756054
"82","CO2",2026-05-12,"Melanie Giessner","50100 ppm","Slope_CO2_high",0.00438488252662301,-2799.76515905684,0.992994335637571
"83","CO2",2026-05-13,"Melanie Giessner","50100 ppm","Slope_CO2_high",0.00485489193548382,-2738.59140325135,0.993183720898446
"84","CO2",2026-05-04,"Melanie Giessner","50100 ppm","Slope_CO2_high",0.0114623834618874,-2577.25063439296,0.994433433340996
"85","CO2",2026-05-05,"Melanie Giessner","50100 ppm","Slope_CO2_high",0.0036986239187236,-2857.15503823649,0.993552793176734
"86","CO2",2026-04-20,"Melanie Giessner","2000 ppm","Slope_CO2_low",0.00668034595839638,-136.567339977726,0.988459513676452
"87","CO2",2026-05-11,"Melanie Giessner","2000 ppm","Slope_CO2_low",0.00274472809265673,-82.8297507655858,0.995645225500159
"88","CO2",2026-05-12,"Melanie Giessner","2000 ppm","Slope_CO2_low",0.003149842362189,-48.7589135449993,0.999397728469398
"89","CO2",2026-05-13,"Melanie Giessner","2000 ppm","Slope_CO2_low",0.00341253986024401,-45.3749380240725,0.99949462479182
"90","CO2",2026-05-04,"Melanie Giessner","2000 ppm","Slope_CO2_low",0.00814558661848239,-44.5916570715049,0.998237658050357
"91","CO2",2026-05-05,"Melanie Giessner","2000 ppm","Slope_CO2_low",0.00245745229306936,-46.0003153216734,0.990874336935958
"92","N2O",2026-04-20,"Melanie Giessner","500 ppm","Slope_N2O_high",0.000749125241642844,-21.2567595987563,0.994109044187076
"93","N2O",2026-05-11,"Melanie Giessner","500 ppm","Slope_N2O_high",0.000689368971012635,-25.2832163526603,0.977498505018124
"94","N2O",2026-05-12,"Melanie Giessner","500 ppm","Slope_N2O_high",0.000819209973167535,-19.0655512158586,0.995863464351909
"95","N2O",2026-05-13,"Melanie Giessner","500 ppm","Slope_N2O_high",0.000780670529776432,-20.6507630785198,0.994402559038448
"96","N2O",2026-05-04,"Melanie Giessner","500 ppm","Slope_N2O_high",0.000810622064995955,-19.045916224104,0.995429138000233
"97","N2O",2026-05-05,"Melanie Giessner","500 ppm","Slope_N2O_high",0.000760371576904933,-18.0599477288278,0.996595200187737
"98","N2O",2026-04-20,"Melanie Giessner","5 ppm","Slope_N2O_low",0.00044663708878335,-0.175534816647779,0.994095915175518
"99","N2O",2026-05-11,"Melanie Giessner","5 ppm","Slope_N2O_low",0.000341794874335128,-0.163744173643387,0.991299538049942
"100","N2O",2026-05-12,"Melanie Giessner","5 ppm","Slope_N2O_low",0.000475891122579893,-0.0607701306024067,0.999111048170627
"101","N2O",2026-05-13,"Melanie Giessner","5 ppm","Slope_N2O_low",0.000426000614707024,-0.0190268348855746,0.999832750388201
"102","N2O",2026-05-04,"Melanie Giessner","5 ppm","Slope_N2O_low",0.000466573140331968,-0.0461829414196142,0.998054896017153
"103","N2O",2026-05-05,"Melanie Giessner","5 ppm","Slope_N2O_low",0.0004175364466859,-0.00538569469407573,0.990223799745236
