Site,Zone,Replicate,Sample_ID,DNF_Rate_g_hr,DNRA_Rate_g_hr,pH,Percent_Water_WetSoil,Percent_OM_WetSoil,Percent_Water_drySoil,Percent_OM_drySoil,HG_Soil_Moisture_wfv,HG_Soil_Moisture_percent,HG_Soil_Temperature_C,HG_Soil_Temperature_F ,HG_Bulk_EC(Raw)_dS/m,HG_Bulk_EC(TC)_dS/m,HG_PoreWater EC_dS/m,HG_PoreWater_EC_Offset,HG_Raw_Real_Dielectric,HG_Raw_Imaginary_Dielectric,HG_Loss_Tangent,HG_Memo,Site,Zone,Replicate,Sample_ID,SO4_ppm,SO4_Area,Cl_ppm,Cl_Area,SO4_mM,Cl_mM,salinity,Soil_EC,Soil_Sal,Soil KCl NH4 (uM),Soil KCl Nox (uM),Soil KCl DIN (uM),WetOM_SoilDIN,WetOM_SoilNOx
MSM,UP,B,MSM_UP_B,0.098579211,1.637109428,4.88,35,41.4,154,90.1,0.378,37.8,24.7,76.4,0.82,0.82,2.84,3.4,26.069,29.455,1.13,msm-upland-coreB,MSM,UP,B,11_NCycle_MSM_UP_B,0.6222,0.0102,85.2788,1.8364,0.019407361,2.405607898,0.154124792,269,0,16.57620996,0.050629,16.62683896,2.48995014,817.7131683
MSM,UP,C,MSM_UP_C,0.259998931,1.063197468,4.58,66.2,78.6,296,63.2,0.344,34.4,24.7,76.4,0.81,0.82,3.28,3.4,23.008,29.271,1.27,msm-upland-coreC,MSM,UP,C,12_NCycle_MSM_UP_C,8.2976,0.1358,119.2832,2.5687,0.258814722,3.364829337,0.215570742,437,0,7.029136056,0.043532,7.072668056,11.11320359,1805.568318
MSM,TR,A,MSM_TR_A,13.91503746,0.145225967,5.75,84.8,96.6,658,22.5,0.95,95,25.9,78.6,3.97,3.93,2.47,3.4,128.168,142.677,1.11,msm-transition-coreA,MSM,TR,A,13_NCycle_MSM_TR_A,157.9716,2.5862,1004.8234,21.6385,4.927373674,28.34480677,1.815741884,3310,1.7,14.05827211,0.011986,14.07025811,6.865545695,8059.402636
MSM,TR,B,MSM_TR_B,26.13126753,1.301317045,6.13,86.2,96.8,725,23.1,0.95,95,26.9,80.5,3.74,3.65,1.96,3.4,149.664,134.47,0.9,msm-transition-coreB,MSM,TR,B,14_NCycle_MSM_TR_B,116.6394,1.9095,947.5165,20.4044,3.638159701,26.72825106,1.712188316,3000,1.5,33.52160038,0.012607,33.53420738,2.886604681,7678.273975
MSM,TR,C,MSM_TR_C,22.09477501,2.046155309,5.94,86.4,97.1,736,21.5,0.923,92.3,25.9,78.6,3.67,3.6,2.86,3.4,102.254,131.91,1.29,msm-transition-coreC,MSM,TR,C,15_NCycle_MSM_TR_C,96.0182,1.5719,801.6473,17.2631,2.994953213,22.61346403,1.448602671,2740,1.3,40.21475437,0.011268,40.22602237,2.413860339,8617.323394
MSM,WC,A,MSM_WC_A,0.045169773,1.097655781,6.05,91.4,97.7,1157,26.2,0.95,95,25.4,77.7,3.54,3.48,1.66,3.4,167.752,127.172,0.76,msm-wetland-coreA,MSM,WC,A,16_NCycle_MSM_WC_A,238.9865,1.9562,1566.7825,16.87,7.454351216,44.19696756,2.831201978,5310,2.8,99.58005812,0.01826,99.59831812,0.980940259,5350.492881
MSM,WC,B,MSM_WC_B,4.040315927,1.581549667,5.54,89.7,97.1,967,27.8,0.95,95,25.4,77.7,3.22,3.18,1.49,3.4,171.271,115.702,0.68,msm-wetland-coreB,MSM,WC,B,17_NCycle_MSM_WC_B,223.3345,1.8281,1573.1928,16.939,6.966141609,44.37779408,2.84278539,5000,2.6,60.62284478,0.017038,60.63988278,1.601256393,5699.025707
MSM,WC,C,MSM_WC_C,1.374831847,4.10518814,6.05,89.6,90.9,958,87,0.95,95,26.4,79.5,3.59,3.49,1.64,3.4,170.633,129.186,0.76,msm-wetland-coreC,MSM,WC,C,18_NCycle_MSM_WC_C,236.8549,1.9388,1638.3726,17.6408,7.387863381,46.21643441,2.960565288,5230,2.8,72.48102694,0.018384,72.49941094,1.253803291,4944.516971
GWI,UP,A,GWI_UP_A,0.330536814,4.364587392,4.69,24.3,30.6,132,91.7,0.212,21.2,24.9,76.8,1.52,1.52,12.6,3.4,12.87,54.79,4.26,gwi-up-coreA,GWI,UP,A,19_NCycle_GWI_UP_A,40.3239,0.3301,406.7993,4.3801,1.257763568,11.4752976,0.735112335,1252,0.4,15.04965481,0.013837,15.06349181,2.031401509,2211.462022
GWI,UP,B,GWI_UP_B,0.463518583,4.384432159,4.81,25.7,32.8,135,90.4,0.194,19.4,25.1,77.3,2.65,2.65,25.1,3.4,11.689,95.32,8.15,gwi-up-coreB,GWI,UP,B,20_NCycle_GWI_UP_B,63.7538,0.5219,540.2798,5.8174,1.988577667,15.24061495,0.976311599,2210,1,15.27447579,0.013724,15.28819979,2.145445536,2389.973769
GWI,UP,C,GWI_UP_C,0.164266515,5.505872175,4.74,29.5,37.3,142,88.9,0.416,41.6,25.1,77.3,3.6,3.59,10.67,3.4,29.816,129.437,4.34,gwi-up-coreC,GWI,UP,C,21_NCycle_GWI_UP_C,76.2934,0.6245,580.4667,6.2501,2.3797068,16.37423695,1.048929327,3170,1.5,32.78738033,0.013971,32.80135133,1.137148272,2669.816048
GWI,TR,A,GWI_TR_A,15.40230192,0.725924159,6.33,73,89.9,371,37.3,0.153,15.3,25.6,78.2,1.6,1.59,21.25,3.4,9.275,57.644,6.21,gwi-tr-coreB,GWI,TR,A,22_NCycle_GWI_TR_A,219.0793,1.7933,1622.6355,17.4714,6.833415471,45.77251058,2.932128349,4640,2.4,143.6551793,0.080496,143.7356753,0.625453631,1116.825681
GWI,TR,B,GWI_TR_B,13.7630688,1.002996251,5.99,72.5,86.5,363,48.9,0.435,43.5,25.4,77.7,3.34,3.33,9.22,3.4,31.757,120.273,3.79,gwi-tr-actualb,GWI,TR,B,23_NCycle_GWI_TR_B,224.9506,1.8413,1621.1079,17.4549,7.016550218,45.7294189,2.929367975,4920,2.6,193.1483504,0.049279,193.1976294,0.447728061,1755.311593
GWI,TR,C,GWI_TR_C,7.945684032,1.057079834,6.08,60.5,73,253,68.3,0.95,95,25.9,78.6,3.66,3.61,2.14,3.4,135.684,131.54,0.97,GWi-tr-coreC,GWI,TR,C,24_NCycle_GWI_TR_C,231.9705,1.8988,1679.8886,18.0879,7.235511541,47.38754866,3.0355847,4540,2.4,81.96627328,0.019037,81.98531028,0.890403412,3834.637811
GWI,WC,A,GWI_WC_A,14.43864308,2.028551624,5.98,76.4,87.7,423,52.1,0.95,95,25.6,78.2,3.75,3.73,1.59,3.4,187.515,135.036,0.72,gwi-wc-coreA,GWI,WC,A,25_NCycle_GWI_WC_A,379.6716,1.5539,2150.5471,11.5778,11.84253275,60.66423413,3.88606461,7130,3.9,178.5625451,0.072748,178.6352931,0.490944418,1205.531424
GWI,WC,B,GWI_WC_B,21.25416962,1.761141735,6.58,42.7,48.7,175,89.6,0.95,95,25.6,78.2,3.67,3.65,1.79,3.4,163.541,132.011,0.81,gwi-wc-coreB,GWI,WC,B,26_NCycle_GWI_WC_B,142.7305,0.5842,1146.8581,6.1743,4.451980661,32.35142736,2.072398587,3930,2,98.09691076,0.053935,98.15084576,0.496175042,902.9387225
GWI,WC,C,GWI_WC_C,14.35531919,2.9203577,6.29,61.8,71.4,262,74.8,0.95,95,25.6,78.2,4.18,4.15,1.82,3.4,181.912,150.418,0.83,gwi-wc-coreC,GWI,WC,C,27_NCycle_GWI_WC_C,225.34,0.9223,1613.8744,8.6885,7.028696195,45.52537094,2.916297041,5420,2.9,123.9094148,0.050502,123.9599168,0.575992642,1413.805394
SWH,UP,A,SWH_UP_A,9.166301163,5.572747961,4.89,62.2,73,264,71.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWH,UP,A,28_NCycle_SWH_UP_A,18.4868,0.3026,114.714,2.4703,0.576631316,3.235937941,0.207314198,376,0,52.21336932,1.365489373,53.57885869,1.362477697,53.46068702
SWH,UP,B,SWH_UP_B,8.971936517,5.121690443,4.98,68.4,78.9,316,66.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWH,UP,B,29_NCycle_SWH_UP_B,12.1362,0.1987,61.2382,1.3187,0.378546475,1.72745275,0.110683427,270,0,39.38258119,5.510362898,44.89294409,1.757514496,14.3184762
SWH,UP,C,SWH_UP_C,8.915829198,3.980114769,4.75,51,62.4,204,76.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWH,UP,C,30_NCycle_SWH_UP_C,7.1052,0.1163,8.787,0.1892,0.221621959,0.24787024,0.015904109,92,0,58.89795598,1.119392862,60.01734884,1.039699374,55.74450411
SWH,TR,A,SHW_TR_A,13.93224876,0.369836789,6.09,89.4,97,940,28.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWH,TR,A,31_NCycle_SWH_TR_A,59.2368,0.9698,411.6421,8.8645,1.84768559,11.61190691,0.743863275,1618,0.6,46.69108355,0.803044257,47.49412781,2.04235775,120.7903539
SWH,TR,B,SWH_TR_B,11.18882836,0.205389456,6.27,86.6,96.2,748,28.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWH,TR,B,32_NCycle_SWH_TR_B,57.9172,0.9482,298.3006,6.4238,1.806525265,8.414685472,0.539055184,2220,1,40.19704856,0.888146387,41.08519494,2.341476051,108.3154775
SWH,TR,C,SWH_TR_C,10.7107485,0.520172741,6.17,88.5,96.6,873,29.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWH,TR,C,33_NCycle_SWH_TR_C,50.9825,0.8346,255.503,5.5022,1.59022146,7.2074189,0.461719921,1716,0.7,38.0773487,0.927627493,39.00497619,2.476607075,104.1366289
SWH,WC,A,SWH_WC_A,8.350894039,2.946787904,5.89,77.8,84.1,451,71.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWH,WC,A,34_NCycle_SWH_WC_A,132.344,2.1666,423.9041,9.1286,4.128009981,11.95780254,0.766020709,2710,1.3,16.95145894,0.80697095,17.75842989,4.735779037,104.2168866
SWH,WC,B,SWH_WC_B,7.133907278,2.036950376,6.1,77,82.9,435,74.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWH,WC,B,35_NCycle_SWH_WC_B,93.9596,1.5382,389.6586,8.3911,2.930742358,10.99177997,0.70413909,2400,1.1,15.71804922,0.770845381,16.4888946,5.027626291,107.5442651
SWH,WC,C,SWH_WC_C,3.982395496,3.928062954,5.82,76.5,82.5,425,74.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SWH,WC,C,36_NCycle_SWH_WC_C,51.1532,0.8374,265.4217,5.7157,1.595545852,7.487212976,0.479643012,2080,0.9,30.35811433,0.762349447,31.12046378,2.65098877,108.2180886
